Type of professional,Province/territory,Health region,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Registered nurses,Alberta,Alberta (regional health authorities) (total),29736,30808,31323,31585,32104,32304,32097,32109,31533,
Registered nurses,Alberta,South Zone,1901,2054,2120,2201,2217,2230,2215,2248,2210,
Registered nurses,Alberta,Calgary Zone,10741,11702,12088,12120,12289,12464,12484,12576,12428,
Registered nurses,Alberta,Central Zone,2842,3053,3113,3145,3170,3163,3131,3050,2954,
Registered nurses,Alberta,Edmonton Zone,12411,11725,11907,11919,12116,12129,11986,11988,11695,
Registered nurses,Alberta,North Zone,1811,1992,2094,2200,2300,2297,2255,2215,2203,
Registered nurses,Alberta,Other*,30,282,1,0,12,21,26,32,43,
Registered nurses,British Columbia,British Columbia (health service delivery areas) (total),29138,29762,31820,32321,31375,32980,34904,35392,35853,37313
Registered nurses,British Columbia,East Kootenay HSDA,423,459,465,490,461,486,514,533,551,607
Registered nurses,British Columbia,Kootenay-Boundary HSDA,480,498,524,525,528,552,596,596,602,642
Registered nurses,British Columbia,Okanagan HSDA,2394,2482,2679,2733,2686,2815,2992,3081,3099,3231
Registered nurses,British Columbia,Thompson/Cariboo HSDA,1356,1414,1531,1525,1469,1546,1625,1579,1601,1631
Registered nurses,British Columbia,Fraser East HSDA,1670,1692,1836,1878,1815,1881,1953,1961,2035,2149
Registered nurses,British Columbia,Fraser North HSDA,3393,3468,3669,3625,3477,3670,3827,3876,3953,4096
Registered nurses,British Columbia,Fraser South HSDA,3584,3685,3876,3974,3811,3975,4243,4309,4329,4475
Registered nurses,British Columbia,Richmond HSDA,686,706,742,724,696,770,842,812,820,851
Registered nurses,British Columbia,Vancouver HSDA,6801,6838,7266,7482,7297,7687,8105,8321,8498,8793
Registered nurses,British Columbia,North Shore/Coast Garibaldi HSDA,1330,1356,1448,1465,1402,1493,1610,1611,1656,1744
Registered nurses,British Columbia,South Vancouver Island HSDA,3030,2998,3197,3259,3169,3305,3545,3599,3578,3687
Registered nurses,British Columbia,Central Vancouver Island HSDA,1555,1605,1826,1884,1850,1900,2006,2017,2021,2114
Registered nurses,British Columbia,North Vancouver Island HSDA,757,736,793,896,889,924,985,1038,1051,1114
Registered nurses,British Columbia,Northwest HSDA,424,402,444,451,423,462,494,493,494,515
Registered nurses,British Columbia,Northern Interior HSDA,943,982,1068,1088,1072,1159,1214,1239,1246,1326
Registered nurses,British Columbia,Northeast HSDA,258,268,286,259,262,265,259,260,254,270
Registered nurses,British Columbia,Other*,54,173,170,63,68,90,94,67,65,68
Registered nurses,Yukon,Yukon (total),345,350,376,398,399,451,478,556,532,491
Registered nurses,Northwest Territories/Nunavut,Northwest Territories/Nunavut (total),892,902,853,719,591,842,894,1000,965,
Registered nurses,Jurisdictions with available data,Jurisdictions with available data (total),247215,249094,252827,254352,245820,248699,252891,255165,259276,224052
Registered psychiatric nurses,Manitoba,Manitoba (regional health authorities) (total),802,829,864,851,834,867,904,928,950,960
Registered psychiatric nurses,Manitoba,Winnipeg-Churchill Health Region,296,309,326,335,333,348,390,427,438,450
Registered psychiatric nurses,Manitoba,Prairie Mountain Health Region,234,245,247,243,233,244,239,234,243,244
Registered psychiatric nurses,Manitoba,Interlake-Eastern Health Region,160,162,176,166,167,174,170,172,173,176
Registered psychiatric nurses,Manitoba,Northern Health Region,12,14,16,15,13,14,13,11,13,13
Registered psychiatric nurses,Manitoba,Southern Health Region,90,91,91,86,79,75,79,74,71,75
Registered psychiatric nurses,Manitoba,Other*,10,8,8,6,9,12,13,10,12,2
Registered psychiatric nurses,Saskatchewan,Saskatchewan (regional health authorities) (total),746,712,687,653,621,620,640,604,599,648
Registered psychiatric nurses,Saskatchewan,Far North Zone,5,3,3,4,5,3,2,3,2,2
Registered psychiatric nurses,Saskatchewan,North Central West Zone,90,81,83,87,78,82,81,72,73,87
Registered psychiatric nurses,Saskatchewan,North Central East Zone,66,60,60,56,47,46,48,45,46,48
Registered psychiatric nurses,Saskatchewan,Saskatoon Zone,103,132,117,95,99,97,109,105,96,103
Registered psychiatric nurses,Saskatchewan,South West Zone,112,95,90,83,68,61,62,61,55,63
Registered psychiatric nurses,Saskatchewan,South East Zone,120,117,112,117,109,113,112,102,97,106
Registered psychiatric nurses,Saskatchewan,Regina Zone,248,210,208,207,211,212,219,215,229,236
Registered psychiatric nurses,Saskatchewan,Other*,2,14,14,4,4,6,7,1,1,3
Registered psychiatric nurses,Alberta,Alberta (regional health authorities) (total),1114,1084,1093,1093,1087,1080,1066,1083,1108,1114
Registered psychiatric nurses,Alberta,South Zone,46,42,40,39,33,32,31,34,33,31
Registered psychiatric nurses,Alberta,Calgary Zone,212,209,200,201,196,202,191,192,203,206
Registered psychiatric nurses,Alberta,Central Zone,337,329,337,334,336,324,319,311,317,316
Registered psychiatric nurses,Alberta,Edmonton Zone,466,452,458,461,466,470,474,490,492,499
Registered psychiatric nurses,Alberta,North Zone,49,41,48,49,44,45,43,47,52,55
Registered psychiatric nurses,Alberta,Other*,4,11,10,9,12,7,8,9,11,7
Registered psychiatric nurses,British Columbia,British Columbia (health service delivery areas) (total),2088,2231,2261,2253,,2622,2829,2936,3030,3179
Registered psychiatric nurses,British Columbia,East Kootenay HSDA,12,13,15,14,,16,14,15,18,17
Registered psychiatric nurses,British Columbia,Kootenay-Boundary HSDA,23,23,25,26,,29,33,35,36,38
Registered psychiatric nurses,British Columbia,Okanagan HSDA,137,160,164,176,,183,200,209,217,226
Registered psychiatric nurses,British Columbia,Thompson/Cariboo HSDA,99,102,106,106,,133,152,151,155,176
Registered psychiatric nurses,British Columbia,Fraser East HSDA,174,185,176,185,,233,246,241,245,261
Registered psychiatric nurses,British Columbia,Fraser North HSDA,444,475,471,445,,525,569,608,609,624
Registered psychiatric nurses,British Columbia,Fraser South HSDA,356,386,380,376,,434,472,473,516,551
Registered psychiatric nurses,British Columbia,Richmond HSDA,37,48,48,48,,41,47,50,51,56
Registered psychiatric nurses,British Columbia,Vancouver HSDA,404,425,453,459,,523,552,588,615,640
Registered psychiatric nurses,British Columbia,North Shore/Coast Garibaldi HSDA,85,87,96,96,,110,128,136,139,132
Registered psychiatric nurses,British Columbia,South Vancouver Island HSDA,109,117,116,111,,120,131,133,129,134
Registered psychiatric nurses,British Columbia,Central Vancouver Island HSDA,104,110,111,116,,131,138,151,150,154
Registered psychiatric nurses,British Columbia,North Vancouver Island HSDA,31,31,33,31,,39,46,55,55,55
Registered psychiatric nurses,British Columbia,Northwest HSDA,13,11,9,8,,13,13,14,14,15
Registered psychiatric nurses,British Columbia,Northern Interior HSDA,29,33,35,34,,24,30,32,37,48
Registered psychiatric nurses,British Columbia,Northeast HSDA,16,21,21,21,,26,24,28,31,38
Registered psychiatric nurses,British Columbia,Other*,15,4,2,1,,42,34,17,13,14
Registered psychiatric nurses,Yukon,Yukon (total),,,,,,,,,,
Registered psychiatric nurses,Northwest Territories/Nunavut,Northwest Territories/Nunavut (total),,,,,,,,,,
Registered psychiatric nurses,Jurisdictions with available data,Jurisdictions with available data (total),4750,4856,4905,4850,2542,5189,5439,5551,5687,5901
Licensed practical nurses,Newfoundland and Labrador,Newfoundland and Labrador (regional integrated health authorities) (total),2235,2226,2294,2274,2277,2201,2299,2333,2193,2120
Licensed practical nurses,Newfoundland and Labrador,Eastern-Urban Zone,815,788,849,837,834,784,823,833,777,686
Licensed practical nurses,Newfoundland and Labrador,Eastern-Rural Zone,371,382,348,359,363,384,402,414,392,328
Licensed practical nurses,Newfoundland and Labrador,Central Zone,478,485,507,512,510,470,481,498,469,410
Licensed practical nurses,Newfoundland and Labrador,Western Zone,414,406,417,403,399,401,420,418,388,356
Licensed practical nurses,Newfoundland and Labrador,Labrador-Grenfell Zone,157,161,172,162,166,160,170,170,162,149
Licensed practical nurses,Newfoundland and Labrador,Other*,0,4,1,1,5,2,3,0,5,191
Licensed practical nurses,Prince Edward Island,Prince Edward Island (total),506,531,553,531,,705,693,712,719,739
Licensed practical nurses,Prince Edward Island,Health PEI,506,531,553,531,,705,693,712,719,739
Licensed practical nurses,Nova Scotia,Nova Scotia (district health authorities) (total),3736,3803,3942,3982,4044,4071,4179,4344,4292,
Licensed practical nurses,Nova Scotia,Western Zone,931,945,985,967,999,975,993,1036,1011,
Licensed practical nurses,Nova Scotia,Northern Zone,569,583,609,622,657,693,711,751,729,
Licensed practical nurses,Nova Scotia,Eastern Zone,930,933,950,956,946,943,971,1013,989,
Licensed practical nurses,Nova Scotia,Central Zone,1304,1341,1398,1436,1442,1460,1504,1542,1436,
Licensed practical nurses,Nova Scotia,Other*,2,1,0,1,0,0,0,2,127,
Licensed practical nurses,New Brunswick,New Brunswick (total),2875,2923,2904,2963,,2671,2832,2917,3075,3085
Licensed practical nurses,New Brunswick,Zone 1 (Moncton Area),591,597,607,630,,559,564,577,590,635
Licensed practical nurses,New Brunswick,Zone 2 (Saint John Area),749,762,750,776,,702,605,641,650,684
Licensed practical nurses,New Brunswick,Zone 3 (Fredericton Area),599,633,641,664,,590,834,862,955,922
Licensed practical nurses,New Brunswick,Zone 4 (Edmundston Area),217,217,211,211,,187,182,187,196,194
Licensed practical nurses,New Brunswick,Zone 5 (Campbellton Area),173,174,158,152,,138,64,68,84,74
Licensed practical nurses,New Brunswick,Zone 6 (Bathurst Area),379,376,362,359,,318,279,289,298,274
Licensed practical nurses,New Brunswick,Zone 7 (Miramichi Area),160,157,159,162,,155,149,151,155,158
Licensed practical nurses,New Brunswick,Other*,7,7,16,9,,22,155,142,147,144
Licensed practical nurses,Quebec,Quebec (health regions) (total),24268,24021,23644,22929,23824,25391,24513,24222,24720,25873
Licensed practical nurses,Quebec,Bas-Saint-Laurent Region,719,720,699,663,665,683,661,632,626,651
Licensed practical nurses,Quebec,Saguenay-Lac-Saint-Jean Region,981,913,893,860,855,895,832,819,827,842
Licensed practical nurses,Quebec,Capitale-Nationale Region,2569,2538,2499,2378,2442,2608,2407,2296,2277,2358
Licensed practical nurses,Quebec,Mauricie et Centre-du-Quebec Region,1466,1445,1422,1332,1372,1447,1420,1376,1398,1468
Licensed practical nurses,Quebec,Estrie Region,1479,1492,1489,1478,1534,1583,1526,1486,1465,1495
Licensed practical nurses,Quebec,Montreal Region,7486,7304,7029,6884,7092,7546,7321,7343,7474,7889
Licensed practical nurses,Quebec,Outaouais Region,813,798,796,765,774,814,783,774,764,808
Licensed practical nurses,Quebec,Abitibi-Temiscamingue Region,443,442,450,429,408,442,444,428,452,455
Licensed practical nurses,Quebec,Cote-Nord Region,249,237,240,236,248,273,264,252,253,250
Licensed practical nurses,Quebec,Nord-du-Quebec Region,50,49,47,43,44,42,42,39,34,34
Licensed practical nurses,Quebec,Gaspesie-Iles-de-la-Madeleine Region,418,394,369,355,364,374,348,354,346,387
Licensed practical nurses,Quebec,Chaudiere-Appalaches Region,1111,1093,1085,1033,1053,1093,1070,1020,1050,1098
Licensed practical nurses,Quebec,Laval Region,942,1028,1115,1072,1145,1269,1260,1279,1344,1389
Licensed practical nurses,Quebec,Lanaudiere Region,1012,1004,1014,1011,1080,1188,1185,1222,1282,1364
Licensed practical nurses,Quebec,Laurentides Region,1504,1501,1492,1454,1567,1711,1692,1667,1781,1861
Licensed practical nurses,Quebec,Monteregie Region,3011,3049,2996,2928,3174,3410,3243,3215,3321,3495
Licensed practical nurses,Quebec,Nunavik Region,11,10,9,8,7,13,11,12,12,16
Licensed practical nurses,Quebec,Terres-Cries-de-la-Baie-James Region,0,0,0,0,0,0,0,4,9,8
Licensed practical nurses,Quebec,Other*,4,4,0,0,0,0,4,4,5,5
Licensed practical nurses,Ontario,Ontario (health regions) (total),37871,40146,41670,43582,45971,47209,48021,49535,50606,51326
Licensed practical nurses,Ontario,West Region,12425,13055,13575,14121,14820,15109,15452,15606,15927,16255
Licensed practical nurses,Ontario,Central Region,6384,6985,7411,7965,8419,8693,8770,9409,9810,9803
Licensed practical nurses,Ontario,Toronto Region,6676,7094,7505,7930,8432,8782,9188,9706,9862,9879
Licensed practical nurses,Ontario,East Region,8516,9047,9207,9495,10095,10340,10371,10545,10736,11070
Licensed practical nurses,Ontario,North East Region,2678,2740,2762,2860,2949,2980,2962,2982,2992,3042
Licensed practical nurses,Ontario,North West Region,1167,1202,1194,1206,1247,1292,1270,1275,1268,1259
Licensed practical nurses,Ontario,Other*,25,23,16,5,9,13,8,12,11,18
