Type of professional,Province/territory,Health region,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,,
Registered nurses,Quebec,Saguenay–Lac-Saint-Jean Region,"2,332","2,328","2,309","2,331","2,339","2,314","2,339","2,336","2,380","2,396",,,,,,,,,,,,,,
Registered nurses,Quebec,Capitale-Nationale Region,"7,914","7,897","7,948","8,021","7,998","8,034","8,200","8,144","8,257","8,393",,,,,,,,,,,,,,
Registered nurses,Quebec,Mauricie et Centre-du-Québec Region,"3,522","3,516","3,550","3,546","3,558","3,550","3,608","3,600","3,714","3,658",,,,,,,,,,,,,,
Registered nurses,Quebec,Estrie Region,"3,477","3,540","3,573","3,587","3,611","3,658","3,768","3,743","3,888","3,924",,,,,,,,,,,,,,
Registered nurses,Quebec,Montréal Region,"19,625","19,585","19,720","20,369","20,521","20,585","21,368","21,553","21,582","21,952",,,,,,,,,,,,,,
Registered nurses,Quebec,Outaouais Region,"1,890","1,896","1,926","1,964","1,919","1,954","1,984","1,967","1,976","1,957",,,,,,,,,,,,,,
Registered nurses,Quebec,Abitibi-Témiscamingue Region,"1,135","1,121","1,114","1,126","1,073","1,080","1,107","1,106","1,153","1,170",,,,,,,,,,,,,,
Registered nurses,Quebec,Côte-Nord Region,776,784,786,773,738,720,742,731,732,745,,,,,,,,,,,,,,
Registered nurses,Quebec,Nord-du-Québec Region,142,148,140,129,129,125,131,129,122,124,,,,,,,,,,,,,,
Registered nurses,Quebec,Gaspésie–Îles-de-la-Madeleine Region,822,828,820,813,786,792,808,823,885,867,,,,,,,,,,,,,,
Registered nurses,Quebec,Chaudière-Appalaches Region,"2,427","2,433","2,426","2,472","2,463","2,450","2,502","2,572","2,605","2,578",,,,,,,,,,,,,,
Registered nurses,Quebec,Laval Region,"1,928","2,120","2,220","2,269","2,168","2,301","2,524","2,614","2,772","2,831",,,,,,,,,,,,,,
Registered nurses,Quebec,Lanaudière Region,"2,352","2,303","2,319","2,376","2,405","2,360","2,442","2,477","2,585","2,664",,,,,,,,,,,,,,
Registered nurses,Quebec,Laurentides Region,"2,890","2,903","2,958","3,001","3,014","3,030","3,305","3,402","3,506","3,550",,,,,,,,,,,,,,
Registered nurses,Quebec,Montérégie Region,"6,448","6,501","6,657","6,848","6,917","6,908","7,222","7,379","7,554","7,598",,,,,,,,,,,,,,
Registered nurses,Quebec,Nunavik Region,194,202,190,205,202,205,243,261,262,271,,,,,,,,,,,,,,
Registered nurses,Quebec,Terres-Cries-de-la-Baie-James Region,157,171,184,187,195,202,225,224,229,250,,,,,,,,,,,,,,
Registered nurses,Quebec,Other*,57,1,0,0,0,0,0,3,208,86,,,,,,,,,,,,,,
Registered nurses,Ontario,Ontario (health regions) (total),"86,757","86,666","86,246","86,636","88,380","88,752","89,915","90,692","92,238","96,715",,,,,,,,,,,,,,
Registered nurses,Ontario,West Region,"25,461","25,225","24,810","24,877","25,228","25,240","25,437","25,503","25,767","27,059",,,,,,,,,,,,,,
Registered nurses,Ontario,Central Region,"13,960","14,203","14,343","14,562","15,137","15,306","15,669","16,075","17,051","18,138",,,,,,,,,,,,,,
Registered nurses,Ontario,Toronto Region,"21,947","22,026","22,022","22,074","22,556","22,631","22,905","23,063","23,441","24,656",,,,,,,,,,,,,,
Registered nurses,Ontario,East Region,"18,278","18,199","18,085","18,182","18,460","18,498","18,771","18,874","18,908","19,510",,,,,,,,,,,,,,
Registered nurses,Ontario,North East Region,"4,769","4,685","4,693","4,648","4,635","4,669","4,712","4,791","4,701","4,868",,,,,,,,,,,,,,
Registered nurses,Ontario,North West Region,"2,332","2,301","2,272","2,290","2,349","2,390","2,402","2,368","2,353","2,466",,,,,,,,,,,,,,
Registered nurses,Ontario,Other*,10,27,21,3,15,18,19,18,17,18,,,,,,,,,,,,,,
Registered nurses,Manitoba,Manitoba (regional health authorities) (total),"9,760","9,826","10,733","10,173",—,—,—,—,—,—,,,,,,,,,,,,,,
Registered nurses,Manitoba,Winnipeg–Churchill Health Region,"6,200","6,224","6,778","6,447",—,—,—,—,—,—,,,,,,,,,,,,,,
Registered nurses,Manitoba,Prairie Mountain Health Region,"1,149","1,137","1,227","1,140",—,—,—,—,—,—,,,,,,,,,,,,,,
Registered nurses,Manitoba,Interlake–Eastern Health Region,916,909,"1,004",974,—,—,—,—,—,—,,,,,,,,,,,,,,
Registered nurses,Manitoba,Northern Health Region,355,369,414,394,—,—,—,—,—,—,,,,,,,,,,,,,,
Registered nurses,Manitoba,Southern Health Region,"1,135","1,186","1,296","1,215",—,—,—,—,—,—,,,,,,,,,,,,,,
Registered nurses,Manitoba,Other*,5,1,14,3,—,—,—,—,—,—,,,,,,,,,,,,,,
Registered nurses,Saskatchewan,Saskatchewan (regional health authorities) (total),"9,030","9,211","9,350","9,458","9,770","9,688","9,870","10,095","10,252","10,465",,,,,,,,,,,,,,
Registered nurses,Saskatchewan,Far North Zone,114,129,143,130,134,144,150,144,137,136,,,,,,,,,,,,,,
Registered nurses,Saskatchewan,North Central West Zone,641,621,625,640,646,627,612,603,596,591,,,,,,,,,,,,,,
Registered nurses,Saskatchewan,North Central East Zone,780,800,810,870,887,865,866,871,867,846,,,,,,,,,,,,,,
Registered nurses,Saskatchewan,Saskatoon Zone,"3,110","3,283","3,335","3,368","3,496","3,667","3,861","3,994","4,295","4,548",,,,,,,,,,,,,,
Registered nurses,Saskatchewan,South West Zone,836,850,856,848,869,810,789,788,774,773,,,,,,,,,,,,,,
Registered nurses,Saskatchewan,South East Zone,"1,090","1,070","1,090","1,109","1,143","1,053","1,052","1,045","1,029","1,058",,,,,,,,,,,,,,
Registered nurses,Saskatchewan,Regina Zone,"2,449","2,445","2,485","2,490","2,586","2,522","2,538","2,641","2,542","2,490",,,,,,,,,,,,,,
Registered nurses,Saskatchewan,Other*,10,13,6,3,9,0,2,9,12,23,,,,,,,,,,,,,,
Registered nurses,Alberta,Alberta (regional health authorities) (total),"29,736","30,808","31,323","31,585","32,104","32,304","32,097","32,109","31,533",—,,,,,,,,,,,,,,
Registered nurses,Alberta,South Zone,"1,901","2,054","2,120","2,201","2,217","2,230","2,215","2,248","2,210",—,,,,,,,,,,,,,,
Registered nurses,Alberta,Calgary Zone,"10,741","11,702","12,088","12,120","12,289","12,464","12,484","12,576","12,428",—,,,,,,,,,,,,,,
Registered nurses,Alberta,Central Zone,"2,842","3,053","3,113","3,145","3,170","3,163","3,131","3,050","2,954",—,,,,,,,,,,,,,,
Registered nurses,Alberta,Edmonton Zone,"12,411","11,725","11,907","11,919","12,116","12,129","11,986","11,988","11,695",—,,,,,,,,,,,,,,
Registered nurses,Alberta,North Zone,"1,811","1,992","2,094","2,200","2,300","2,297","2,255","2,215","2,203",—,,,,,,,,,,,,,,
Registered nurses,Alberta,Other*,30,282,1,0,12,21,26,32,43,—,,,,,,,,,,,,,,
Registered nurses,British Columbia,British Columbia (health service delivery areas) (total),"29,138","29,762","31,820","32,321","31,375","32,980","34,904","35,392","35,853","37,313",,,,,,,,,,,,,,
Registered nurses,British Columbia,East Kootenay HSDA,423,459,465,490,461,486,514,533,551,607,,,,,,,,,,,,,,
Registered nurses,British Columbia,Kootenay–Boundary HSDA,480,498,524,525,528,552,596,596,602,642,,,,,,,,,,,,,,
Registered nurses,British Columbia,Okanagan HSDA,"2,394","2,482","2,679","2,733","2,686","2,815","2,992","3,081","3,099","3,231",,,,,,,,,,,,,,
Registered nurses,British Columbia,Thompson/Cariboo HSDA,"1,356","1,414","1,531","1,525","1,469","1,546","1,625","1,579","1,601","1,631",,,,,,,,,,,,,,
Registered nurses,British Columbia,Fraser East HSDA,"1,670","1,692","1,836","1,878","1,815","1,881","1,953","1,961","2,035","2,149",,,,,,,,,,,,,,
Registered nurses,British Columbia,Fraser North HSDA,"3,393","3,468","3,669","3,625","3,477","3,670","3,827","3,876","3,953","4,096",,,,,,,,,,,,,,
Registered nurses,British Columbia,Fraser South HSDA,"3,584","3,685","3,876","3,974","3,811","3,975","4,243","4,309","4,329","4,475",,,,,,,,,,,,,,
Registered nurses,British Columbia,Richmond HSDA,686,706,742,724,696,770,842,812,820,851,,,,,,,,,,,,,,
Registered nurses,British Columbia,Vancouver HSDA,"6,801","6,838","7,266","7,482","7,297","7,687","8,105","8,321","8,498","8,793",,,,,,,,,,,,,,
Registered nurses,British Columbia,North Shore/Coast Garibaldi HSDA,"1,330","1,356","1,448","1,465","1,402","1,493","1,610","1,611","1,656","1,744",,,,,,,,,,,,,,
Registered nurses,British Columbia,South Vancouver Island HSDA,"3,030","2,998","3,197","3,259","3,169","3,305","3,545","3,599","3,578","3,687",,,,,,,,,,,,,,
Registered nurses,British Columbia,Central Vancouver Island HSDA,"1,555","1,605","1,826","1,884","1,850","1,900","2,006","2,017","2,021","2,114",,,,,,,,,,,,,,
Registered nurses,British Columbia,North Vancouver Island HSDA,757,736,793,896,889,924,985,"1,038","1,051","1,114",,,,,,,,,,,,,,
Registered nurses,British Columbia,Northwest HSDA,424,402,444,451,423,462,494,493,494,515,,,,,,,,,,,,,,
Registered nurses,British Columbia,Northern Interior HSDA,943,982,"1,068","1,088","1,072","1,159","1,214","1,239","1,246","1,326",,,,,,,,,,,,,,
Registered nurses,British Columbia,Northeast HSDA,258,268,286,259,262,265,259,260,254,270,,,,,,,,,,,,,,
Registered nurses,British Columbia,Other*,54,173,170,63,68,90,94,67,65,68,,,,,,,,,,,,,,
Registered nurses,Yukon,Yukon (total)†,345,350,376,398,399,451,478,556,532,491,,,,,,,,,,,,,,
Registered nurses,Northwest Territories/Nunavut,Northwest Territories/Nunavut (total)†,892,902,853,719,591,842,894,"1,000",965,—,,,,,,,,,,,,,,
Registered nurses,Jurisdictions with available data,Jurisdictions with available data (total),"247,215","249,094","252,827","254,352","245,820","248,699","252,891","255,165","259,276","224,052",,,,,,,,,,,,,,
Registered psychiatric nurses,Manitoba,Manitoba (regional health authorities) (total),802,829,864,851,834,867,904,928,950,960,,,,,,,,,,,,,,
Registered psychiatric nurses,Manitoba,Winnipeg–Churchill Health Region,296,309,326,335,333,348,390,427,438,450,,,,,,,,,,,,,,
Registered psychiatric nurses,Manitoba,Prairie Mountain Health Region,234,245,247,243,233,244,239,234,243,244,,,,,,,,,,,,,,
Registered psychiatric nurses,Manitoba,Interlake–Eastern Health Region,160,162,176,166,167,174,170,172,173,176,,,,,,,,,,,,,,
Registered psychiatric nurses,Manitoba,Northern Health Region,12,14,16,15,13,14,13,11,13,13,,,,,,,,,,,,,,
Registered psychiatric nurses,Manitoba,Southern Health Region,90,91,91,86,79,75,79,74,71,75,,,,,,,,,,,,,,
Registered psychiatric nurses,Manitoba,Other*,10,8,8,6,9,12,13,10,12,2,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,Saskatchewan (regional health authorities) (total),746,712,687,653,621,620,640,604,599,648,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,Far North Zone,5,3,3,4,5,3,2,3,2,2,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,North Central West Zone,90,81,83,87,78,82,81,72,73,87,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,North Central East Zone,66,60,60,56,47,46,48,45,46,48,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,Saskatoon Zone,103,132,117,95,99,97,109,105,96,103,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,South West Zone,112,95,90,83,68,61,62,61,55,63,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,South East Zone,120,117,112,117,109,113,112,102,97,106,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,Regina Zone,248,210,208,207,211,212,219,215,229,236,,,,,,,,,,,,,,
Registered psychiatric nurses,Saskatchewan,Other*,2,14,14,4,4,6,7,1,1,3,,,,,,,,,,,,,,
Registered psychiatric nurses,Alberta,Alberta (regional health authorities) (total),"1,114","1,084","1,093","1,093","1,087","1,080","1,066","1,083","1,108","1,114",,,,,,,,,,,,,,
Registered psychiatric nurses,Alberta,South Zone,46,42,40,39,33,32,31,34,33,31,,,,,,,,,,,,,,
Registered psychiatric nurses,Alberta,Calgary Zone,212,209,200,201,196,202,191,192,203,206,,,,,,,,,,,,,,
Registered psychiatric nurses,Alberta,Central Zone,337,329,337,334,336,324,319,311,317,316,,,,,,,,,,,,,,
