Type of professional,Year,Age younger than 25 (N),Age younger than 25 (%),Age 25 to 29 (N),Age 25 to 29 (%),Age 30 to 34 (N),Age 30 to 34 (%),Age 35 to 39 (N),Age 35 to 39 (%),Age 40 to 44 (N),Age 40 to 44 (%),Age 45 to 49 (N),Age 45 to 49 (%),Age 50 to 54 (N),Age 50 to 54 (%),Age 55 to 59 (N),Age 55 to 59 (%),Age 60 to 64 (N),Age 60 to 64 (%),Age 65 and older (N),Age 65 and older (%),Age not stated (N),Age not stated (%)
Registered nurses,2022,8448.00,3.30,34419.00,13.50,38772.00,15.20,36250.00,14.20,30643.00,12.00,27528.00,10.80,27397.00,10.70,24874.00,9.70,16266.00,6.40,10568.00,4.10,0.00,
Registered nurses,2023,8242.00,3.20,33861.00,13.10,40376.00,15.60,38023.00,14.70,32283.00,12.50,27351.00,10.50,27091.00,10.40,24180.00,9.30,16702.00,6.40,11167.00,4.30,0.00,
Registered nurses,2024,7554.00,3.40,29138.00,13.00,34976.00,15.60,33884.00,15.10,28682.00,12.80,23757.00,10.60,22878.00,10.20,19947.00,8.90,14059.00,6.30,9177.00,4.10,0.00,
Registered psychiatric nurses,2015,109.00,2.30,524.00,11.00,482.00,10.10,478.00,10.10,518.00,10.90,639.00,13.50,729.00,15.30,605.00,12.70,406.00,8.50,260.00,5.50,0.00,
Registered psychiatric nurses,2016,114.00,2.30,600.00,12.40,577.00,11.90,499.00,10.30,501.00,10.30,601.00,12.40,705.00,14.50,607.00,12.50,358.00,7.40,294.00,6.10,0.00,
Registered psychiatric nurses,2017,109.00,2.20,650.00,13.30,608.00,12.40,507.00,10.30,510.00,10.40,585.00,11.90,660.00,13.50,614.00,12.50,384.00,7.80,278.00,5.70,0.00,
Registered psychiatric nurses,2018,99.00,2.00,660.00,13.60,639.00,13.20,525.00,10.80,519.00,10.70,562.00,11.60,626.00,12.90,591.00,12.20,365.00,7.50,264.00,5.40,0.00,
Registered psychiatric nurses,2019,,,,,,,,,,,,,,,,,,,,,,
Registered psychiatric nurses,2020,88.00,1.70,643.00,12.40,812.00,15.60,603.00,11.60,574.00,11.10,567.00,10.90,640.00,12.30,605.00,11.70,400.00,7.70,257.00,5.00,0.00,
Registered psychiatric nurses,2021,93.00,1.70,636.00,11.70,931.00,17.10,713.00,13.10,607.00,11.20,559.00,10.30,620.00,11.40,602.00,11.10,414.00,7.60,264.00,4.90,0.00,
Registered psychiatric nurses,2022,118.00,2.10,646.00,11.60,994.00,17.90,770.00,13.90,608.00,11.00,581.00,10.50,619.00,11.20,570.00,10.30,390.00,7.00,255.00,4.60,0.00,
Registered psychiatric nurses,2023,120.00,2.10,660.00,11.60,1026.00,18.00,827.00,14.50,642.00,11.30,595.00,10.50,606.00,10.70,558.00,9.80,385.00,6.80,268.00,4.70,0.00,
Registered psychiatric nurses,2024,104.00,1.80,662.00,11.20,1075.00,18.20,942.00,16.00,704.00,11.90,580.00,9.80,600.00,10.20,569.00,9.60,396.00,6.70,269.00,4.60,0.00,
Licensed practical nurses,2015,4645.00,4.70,13530.00,13.80,13846.00,14.10,12915.00,13.20,12703.00,13.00,11754.00,12.00,11265.00,11.50,9479.00,9.70,5392.00,5.50,2401.00,2.50,1.00,
Licensed practical nurses,2016,4478.00,4.40,14176.00,14.00,15235.00,15.00,13651.00,13.50,12979.00,12.80,12231.00,12.10,11326.00,11.20,9219.00,9.10,5512.00,5.40,2461.00,2.40,1.00,
Licensed practical nurses,2017,4199.00,4.10,14456.00,14.00,15935.00,15.50,14291.00,13.90,13192.00,12.80,12579.00,12.20,11187.00,10.90,9143.00,8.90,5459.00,5.30,2535.00,2.50,1.00,
Licensed practical nurses,2018,4062.00,3.90,14352.00,13.80,16734.00,16.00,14841.00,14.20,13415.00,12.90,12722.00,12.20,11245.00,10.80,9022.00,8.60,5462.00,5.20,2502.00,2.40,0.00,
Licensed practical nurses,2019,4442.00,4.20,14438.00,13.70,17288.00,16.40,15450.00,14.70,13625.00,12.90,12737.00,12.10,10859.00,10.30,8736.00,8.30,5296.00,5.00,2532.00,2.40,2.00,
Licensed practical nurses,2020,4670.00,4.10,15010.00,13.30,18772.00,16.60,16925.00,15.00,14757.00,13.00,13619.00,12.00,11491.00,10.20,9396.00,8.30,5739.00,5.10,2814.00,2.50,0.00,
Licensed practical nurses,2021,4748.00,4.10,14883.00,13.00,18978.00,16.50,17849.00,15.50,15128.00,13.20,13605.00,11.80,11843.00,10.30,9346.00,8.10,5661.00,4.90,2782.00,2.40,3.00,
Licensed practical nurses,2022,4865.00,4.20,14860.00,12.70,18980.00,16.30,18409.00,15.80,15670.00,13.40,13747.00,11.80,12237.00,10.50,9340.00,8.00,5741.00,4.90,2914.00,2.50,1.00,
Licensed practical nurses,2023,4639.00,3.90,15141.00,12.70,18870.00,15.90,19109.00,16.10,16184.00,13.60,14040.00,11.80,12438.00,10.50,9525.00,8.00,5871.00,4.90,3107.00,2.60,0.00,
Licensed practical nurses,2024,4632.00,4.00,14517.00,12.40,17940.00,15.40,18578.00,15.90,16274.00,13.90,14153.00,12.10,12246.00,10.50,9336.00,8.00,5890.00,5.00,3178.00,2.70,0.00,
