Type of professional,Jurisdiction,Category,Group,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Nurse practitioners,Newfoundland and Labrador,Renewal,Total,124.00,,144.00,150.00,152.00,170.00,180.00,195.00,224.00,242.00
Nurse practitioners,Newfoundland and Labrador,Renewal,Age <35,4.00,,16.00,21.00,24.00,26.00,29.00,25.00,38.00,43.00
Nurse practitioners,Newfoundland and Labrador,Renewal,Age 35-54,97.00,,99.00,100.00,97.00,108.00,112.00,127.00,138.00,145.00
Nurse practitioners,Newfoundland and Labrador,Renewal,Age 55+,23.00,,29.00,29.00,31.00,36.00,39.00,43.00,48.00,54.00
Nurse practitioners,Newfoundland and Labrador,Renewal,Age not stated,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Newfoundland and Labrador,Employment status,Employed in profession,136.00,148.00,163.00,164.00,180.00,189.00,205.00,229.00,258.00,290.00
Nurse practitioners,Newfoundland and Labrador,Employment status,Employed in other than profession and seeking employment in profession,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
Nurse practitioners,Newfoundland and Labrador,Employment status,Employed in other than profession and not seeking employment in profession,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Newfoundland and Labrador,Employment status,Not employed and seeking employment in profession,0.00,0.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,0.00
Nurse practitioners,Newfoundland and Labrador,Employment status,Not employed and not seeking employment in profession,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Newfoundland and Labrador,Employment status,Not stated,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Newfoundland and Labrador,Location of graduation,Canadian educated,136.00,149.00,164.00,167.00,180.00,190.00,206.00,230.00,259.00,287.00
Nurse practitioners,Newfoundland and Labrador,Location of graduation,Internationally educated,0.00,0.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,3.00
Nurse practitioners,Newfoundland and Labrador,Location of graduation,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Newfoundland and Labrador,Years since graduation,<5 years,0.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
Nurse practitioners,Newfoundland and Labrador,Years since graduation,5-10 years,9.00,18.00,29.00,28.00,34.00,32.00,41.00,48.00,54.00,51.00
Nurse practitioners,Newfoundland and Labrador,Years since graduation,11-20 years,40.00,36.00,36.00,43.00,57.00,68.00,70.00,77.00,97.00,122.00
Nurse practitioners,Newfoundland and Labrador,Years since graduation,21-30 years,53.00,59.00,61.00,60.00,57.00,52.00,57.00,61.00,60.00,59.00
Nurse practitioners,Newfoundland and Labrador,Years since graduation,31+ years,34.00,34.00,38.00,37.00,35.00,39.00,39.00,44.00,49.00,58.00
Nurse practitioners,Newfoundland and Labrador,Years since graduation,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Prince Edward Island,Supply,Total,17.00,22.00,24.00,29.00,43.00,49.00,53.00,60.00,71.00,78.00
Nurse practitioners,Prince Edward Island,Age,Age <25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Prince Edward Island,Age,Age 25-34,7.00,6.00,5.00,6.00,17.00,17.00,14.00,13.00,14.00,15.00
Nurse practitioners,Prince Edward Island,Age,Age 35-44,7.00,11.00,14.00,15.00,16.00,19.00,26.00,30.00,35.00,36.00
Nurse practitioners,Prince Edward Island,Age,Age 45-54,2.00,5.00,5.00,7.00,10.00,10.00,10.00,13.00,17.00,19.00
Nurse practitioners,Prince Edward Island,Age,Age 55-64,1.00,0.00,0.00,1.00,0.00,3.00,3.00,4.00,5.00,8.00
Nurse practitioners,Prince Edward Island,Age,Age 65+,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Prince Edward Island,Age,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Prince Edward Island,Age,Average age,38.60,38.20,39.20,40.40,38.60,39.20,40.00,41.20,41.20,42.10
Nurse practitioners,Prince Edward Island,Sex,Female,17.00,21.00,23.00,28.00,40.00,46.00,50.00,57.00,67.00,71.00
Nurse practitioners,Prince Edward Island,Sex,Male,0.00,1.00,1.00,1.00,3.00,3.00,3.00,3.00,4.00,4.00
Nurse practitioners,Prince Edward Island,Sex,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00
Nurse practitioners,Prince Edward Island,Inflow,Total,5.00,9.00,3.00,6.00,15.00,7.00,8.00,7.00,13.00,14.00
Nurse practitioners,Prince Edward Island,Inflow,Age <35,2.00,3.00,2.00,3.00,12.00,5.00,4.00,2.00,6.00,5.00
Nurse practitioners,Prince Edward Island,Inflow,Age 35-54,2.00,6.00,1.00,2.00,3.00,1.00,4.00,4.00,7.00,6.00
Nurse practitioners,Prince Edward Island,Inflow,Age 55+,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,3.00
Nurse practitioners,Prince Edward Island,Inflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Prince Edward Island,Outflow,Total,4.00,1.00,1.00,1.00,1.00,4.00,0.00,2.00,7.00,
Nurse practitioners,Prince Edward Island,Outflow,Age <35,2.00,1.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00,
Nurse practitioners,Prince Edward Island,Outflow,Age 35-54,1.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,7.00,
Nurse practitioners,Prince Edward Island,Outflow,Age 55+,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Nurse practitioners,Prince Edward Island,Outflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Nurse practitioners,Prince Edward Island,Renewal,Total,12.00,13.00,21.00,23.00,28.00,42.00,45.00,53.00,58.00,64.00
Nurse practitioners,Prince Edward Island,Renewal,Age <35,5.00,3.00,3.00,3.00,5.00,12.00,10.00,11.00,8.00,10.00
Nurse practitioners,Prince Edward Island,Renewal,Age 35-54,7.00,10.00,18.00,20.00,23.00,28.00,32.00,39.00,45.00,49.00
Nurse practitioners,Prince Edward Island,Renewal,Age 55+,0.00,0.00,0.00,0.00,0.00,2.00,3.00,3.00,5.00,5.00
Nurse practitioners,Prince Edward Island,Renewal,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Prince Edward Island,Employment status,Employed in profession,14.00,22.00,24.00,28.00,38.00,45.00,,58.00,71.00,76.00
Nurse practitioners,Prince Edward Island,Employment status,Employed in other than profession and seeking employment in profession,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
Nurse practitioners,Prince Edward Island,Employment status,Employed in other than profession and not seeking employment in profession,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
Nurse practitioners,Prince Edward Island,Employment status,Not employed and seeking employment in profession,0.00,0.00,0.00,1.00,0.00,0.00,,0.00,0.00,0.00
Nurse practitioners,Prince Edward Island,Employment status,Not employed and not seeking employment in profession,1.00,0.00,0.00,0.00,1.00,2.00,,0.00,0.00,0.00
Nurse practitioners,Prince Edward Island,Employment status,Not stated,2.00,0.00,0.00,0.00,4.00,2.00,,2.00,0.00,2.00
Nurse practitioners,Prince Edward Island,Location of graduation,Canadian educated,,,23.00,27.00,,48.00,53.00,59.00,71.00,76.00
Nurse practitioners,Prince Edward Island,Location of graduation,Internationally educated,,,1.00,1.00,,1.00,0.00,1.00,0.00,2.00
Nurse practitioners,Prince Edward Island,Location of graduation,Not stated,,,0.00,1.00,,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Prince Edward Island,Years since graduation,<5 years,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00
Nurse practitioners,Prince Edward Island,Years since graduation,5-10 years,8.00,10.00,9.00,9.00,13.00,14.00,8.00,9.00,11.00,18.00
Nurse practitioners,Prince Edward Island,Years since graduation,11-20 years,7.00,10.00,12.00,16.00,25.00,29.00,33.00,41.00,48.00,45.00
Nurse practitioners,Prince Edward Island,Years since graduation,21-30 years,2.00,1.00,2.00,2.00,4.00,5.00,4.00,6.00,8.00,9.00
Nurse practitioners,Prince Edward Island,Years since graduation,31+ years,0.00,1.00,1.00,2.00,1.00,1.00,2.00,4.00,4.00,6.00
Nurse practitioners,Prince Edward Island,Years since graduation,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Nova Scotia,Supply,Total,149.00,146.00,163.00,182.00,204.00,220.00,240.00,274.00,330.00,368.00
Nurse practitioners,Nova Scotia,Age,Age <25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Nova Scotia,Age,Age 25-34,17.00,12.00,19.00,23.00,30.00,36.00,37.00,47.00,57.00,71.00
Nurse practitioners,Nova Scotia,Age,Age 35-44,45.00,47.00,53.00,56.00,64.00,69.00,78.00,90.00,118.00,132.00
Nurse practitioners,Nova Scotia,Age,Age 45-54,60.00,54.00,52.00,61.00,61.00,62.00,70.00,78.00,86.00,93.00
Nurse practitioners,Nova Scotia,Age,Age 55-64,26.00,32.00,37.00,39.00,46.00,50.00,51.00,52.00,59.00,61.00
Nurse practitioners,Nova Scotia,Age,Age 65+,1.00,1.00,2.00,3.00,3.00,3.00,4.00,7.00,10.00,11.00
Nurse practitioners,Nova Scotia,Age,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Nova Scotia,Age,Average age,46.30,47.20,46.40,46.20,46.00,45.80,45.50,45.30,45.00,44.60
Nurse practitioners,Nova Scotia,Sex,Female,143.00,138.00,156.00,175.00,194.00,205.00,219.00,248.00,303.00,339.00
Nurse practitioners,Nova Scotia,Sex,Male,6.00,8.00,7.00,7.00,10.00,15.00,21.00,26.00,27.00,29.00
Nurse practitioners,Nova Scotia,Sex,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Nova Scotia,Inflow,Total,12.00,9.00,29.00,28.00,30.00,28.00,38.00,46.00,71.00,63.00
Nurse practitioners,Nova Scotia,Inflow,Age <35,7.00,2.00,12.00,8.00,10.00,10.00,13.00,22.00,24.00,29.00
Nurse practitioners,Nova Scotia,Inflow,Age 35-54,5.00,7.00,16.00,19.00,17.00,18.00,25.00,22.00,37.00,32.00
Nurse practitioners,Nova Scotia,Inflow,Age 55+,0.00,0.00,1.00,1.00,3.00,0.00,0.00,2.00,10.00,2.00
Nurse practitioners,Nova Scotia,Inflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Nova Scotia,Outflow,Total,12.00,12.00,9.00,8.00,12.00,18.00,12.00,15.00,25.00,
Nurse practitioners,Nova Scotia,Outflow,Age <35,3.00,1.00,2.00,2.00,2.00,7.00,4.00,3.00,4.00,
Nurse practitioners,Nova Scotia,Outflow,Age 35-54,8.00,8.00,4.00,3.00,5.00,5.00,6.00,10.00,15.00,
Nurse practitioners,Nova Scotia,Outflow,Age 55+,1.00,3.00,3.00,3.00,5.00,6.00,2.00,2.00,6.00,
Nurse practitioners,Nova Scotia,Outflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Nurse practitioners,Nova Scotia,Renewal,Total,137.00,137.00,134.00,154.00,174.00,192.00,202.00,228.00,259.00,305.00
Nurse practitioners,Nova Scotia,Renewal,Age <35,10.00,10.00,7.00,15.00,20.00,26.00,24.00,25.00,33.00,42.00
Nurse practitioners,Nova Scotia,Renewal,Age 35-54,100.00,94.00,89.00,98.00,108.00,113.00,123.00,146.00,167.00,193.00
Nurse practitioners,Nova Scotia,Renewal,Age 55+,27.00,33.00,38.00,41.00,46.00,53.00,55.00,57.00,59.00,70.00
Nurse practitioners,Nova Scotia,Renewal,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Nova Scotia,Employment status,Employed in profession,143.00,141.00,157.00,175.00,201.00,209.00,228.00,258.00,314.00,360.00
Nurse practitioners,Nova Scotia,Employment status,Employed in other than profession and seeking employment in profession,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Nova Scotia,Employment status,Employed in other than profession and not seeking employment in profession,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Nova Scotia,Employment status,Not employed and seeking employment in profession,0.00,0.00,0.00,0.00,0.00,2.00,0.00,3.00,16.00,4.00
Nurse practitioners,Nova Scotia,Employment status,Not employed and not seeking employment in profession,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
Nurse practitioners,Nova Scotia,Employment status,Not stated,6.00,4.00,6.00,7.00,3.00,8.00,12.00,13.00,0.00,3.00
Nurse practitioners,Nova Scotia,Location of graduation,Canadian educated,145.00,143.00,159.00,178.00,199.00,212.00,232.00,265.00,314.00,354.00
Nurse practitioners,Nova Scotia,Location of graduation,Internationally educated,4.00,3.00,4.00,4.00,5.00,8.00,8.00,9.00,16.00,14.00
Nurse practitioners,Nova Scotia,Location of graduation,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Nova Scotia,Years since graduation,<5 years,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Nova Scotia,Years since graduation,5-10 years,18.00,14.00,26.00,28.00,37.00,34.00,38.00,42.00,57.00,80.00
Nurse practitioners,Nova Scotia,Years since graduation,11-20 years,42.00,44.00,41.00,53.00,64.00,80.00,89.00,112.00,144.00,150.00
Nurse practitioners,Nova Scotia,Years since graduation,21-30 years,52.00,46.00,50.00,52.00,49.00,53.00,58.00,61.00,55.00,64.00
Nurse practitioners,Nova Scotia,Years since graduation,31+ years,36.00,42.00,46.00,49.00,54.00,53.00,55.00,59.00,74.00,73.00
Nurse practitioners,Nova Scotia,Years since graduation,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Nurse practitioners,New Brunswick,Supply,Total,109.00,117.00,125.00,130.00,139.00,148.00,159.00,171.00,193.00,227.00
Nurse practitioners,New Brunswick,Age,Age <25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,New Brunswick,Age,Age 25-34,23.00,24.00,22.00,25.00,21.00,20.00,20.00,22.00,29.00,39.00
Nurse practitioners,New Brunswick,Age,Age 35-44,39.00,45.00,49.00,54.00,65.00,70.00,71.00,74.00,85.00,103.00
Nurse practitioners,New Brunswick,Age,Age 45-54,30.00,30.00,35.00,34.00,29.00,31.00,35.00,39.00,40.00,46.00
Nurse practitioners,New Brunswick,Age,Age 55-64,16.00,18.00,19.00,15.00,21.00,21.00,26.00,27.00,29.00,30.00
Nurse practitioners,New Brunswick,Age,Age 65+,1.00,0.00,0.00,2.00,3.00,6.00,7.00,9.00,10.00,9.00
Nurse practitioners,New Brunswick,Age,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,New Brunswick,Age,Average age,43.40,43.30,44.00,43.30,43.80,44.20,44.90,44.70,44.50,43.70
Nurse practitioners,New Brunswick,Sex,Female,106.00,113.00,120.00,122.00,130.00,139.00,147.00,159.00,180.00,203.00
Nurse practitioners,New Brunswick,Sex,Male,3.00,4.00,5.00,8.00,9.00,9.00,12.00,12.00,12.00,18.00
Nurse practitioners,New Brunswick,Sex,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,6.00
Nurse practitioners,New Brunswick,Inflow,Total,11.00,15.00,15.00,16.00,18.00,13.00,16.00,21.00,29.00,48.00
Nurse practitioners,New Brunswick,Inflow,Age <35,6.00,9.00,7.00,12.00,6.00,6.00,4.00,11.00,12.00,18.00
Nurse practitioners,New Brunswick,Inflow,Age 35-54,5.00,6.00,7.00,4.00,10.00,4.00,9.00,9.00,16.00,29.00
Nurse practitioners,New Brunswick,Inflow,Age 55+,0.00,0.00,1.00,0.00,2.00,3.00,3.00,1.00,1.00,1.00
Nurse practitioners,New Brunswick,Inflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,New Brunswick,Outflow,Total,7.00,7.00,11.00,9.00,4.00,5.00,9.00,7.00,14.00,
Nurse practitioners,New Brunswick,Outflow,Age <35,3.00,4.00,1.00,3.00,0.00,1.00,1.00,2.00,2.00,
Nurse practitioners,New Brunswick,Outflow,Age 35-54,3.00,3.00,5.00,6.00,1.00,3.00,6.00,3.00,7.00,
Nurse practitioners,New Brunswick,Outflow,Age 55+,1.00,0.00,5.00,0.00,3.00,1.00,2.00,2.00,5.00,
Nurse practitioners,New Brunswick,Outflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Nurse practitioners,New Brunswick,Renewal,Total,98.00,102.00,110.00,114.00,121.00,135.00,143.00,150.00,164.00,179.00
Nurse practitioners,New Brunswick,Renewal,Age <35,17.00,15.00,15.00,13.00,15.00,14.00,16.00,11.00,17.00,21.00
Nurse practitioners,New Brunswick,Renewal,Age 35-54,64.00,69.00,77.00,84.00,84.00,97.00,97.00,104.00,109.00,120.00
Nurse practitioners,New Brunswick,Renewal,Age 55+,17.00,18.00,18.00,17.00,22.00,24.00,30.00,35.00,38.00,38.00
Nurse practitioners,New Brunswick,Renewal,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,New Brunswick,Employment status,Employed in profession,106.00,113.00,121.00,126.00,135.00,144.00,152.00,161.00,191.00,219.00
Nurse practitioners,New Brunswick,Employment status,Employed in other than profession and seeking employment in profession,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,New Brunswick,Employment status,Employed in other than profession and not seeking employment in profession,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,New Brunswick,Employment status,Not employed and seeking employment in profession,0.00,1.00,0.00,1.00,1.00,1.00,1.00,2.00,0.00,0.00
Nurse practitioners,New Brunswick,Employment status,Not employed and not seeking employment in profession,2.00,2.00,3.00,3.00,1.00,2.00,1.00,3.00,0.00,0.00
Nurse practitioners,New Brunswick,Employment status,Not stated,1.00,1.00,1.00,0.00,2.00,1.00,5.00,5.00,2.00,8.00
Nurse practitioners,New Brunswick,Location of graduation,Canadian educated,105.00,113.00,121.00,126.00,133.00,141.00,150.00,161.00,182.00,218.00
Nurse practitioners,New Brunswick,Location of graduation,Internationally educated,4.00,4.00,4.00,4.00,6.00,7.00,9.00,10.00,10.00,9.00
Nurse practitioners,New Brunswick,Location of graduation,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Nurse practitioners,New Brunswick,Years since graduation,<5 years,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,New Brunswick,Years since graduation,5-10 years,19.00,25.00,21.00,27.00,20.00,22.00,20.00,23.00,29.00,36.00
Nurse practitioners,New Brunswick,Years since graduation,11-20 years,43.00,44.00,50.00,53.00,68.00,71.00,73.00,83.00,93.00,113.00
Nurse practitioners,New Brunswick,Years since graduation,21-30 years,30.00,31.00,31.00,30.00,27.00,26.00,33.00,28.00,33.00,42.00
Nurse practitioners,New Brunswick,Years since graduation,31+ years,17.00,17.00,23.00,20.00,24.00,29.00,33.00,37.00,38.00,36.00
Nurse practitioners,New Brunswick,Years since graduation,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Quebec,Supply,Total,305.00,380.00,431.00,509.00,545.00,686.00,946.00,1183.00,1411.00,1667.00
Nurse practitioners,Quebec,Age,Age <25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Quebec,Age,Age 25-34,136.00,170.00,163.00,175.00,167.00,201.00,306.00,411.00,507.00,603.00
Nurse practitioners,Quebec,Age,Age 35-44,125.00,157.00,208.00,261.00,296.00,374.00,495.00,590.00,682.00,793.00
Nurse practitioners,Quebec,Age,Age 45-54,34.00,41.00,49.00,61.00,67.00,87.00,113.00,150.00,186.00,228.00
Nurse practitioners,Quebec,Age,Age 55-64,10.00,12.00,11.00,11.00,15.00,23.00,30.00,29.00,34.00,40.00
Nurse practitioners,Quebec,Age,Age 65+,0.00,0.00,0.00,1.00,0.00,1.00,2.00,3.00,2.00,3.00
Nurse practitioners,Quebec,Age,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Quebec,Age,Average age,37.10,37.00,37.30,37.80,38.30,38.50,38.20,38.00,38.00,38.10
Nurse practitioners,Quebec,Sex,Female,281.00,352.00,396.00,462.00,495.00,620.00,850.00,1063.00,1265.00,1477.00
Nurse practitioners,Quebec,Sex,Male,24.00,28.00,35.00,47.00,50.00,66.00,96.00,120.00,146.00,190.00
Nurse practitioners,Quebec,Sex,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Quebec,Inflow,Total,59.00,81.00,59.00,86.00,53.00,154.00,271.00,253.00,249.00,275.00
Nurse practitioners,Quebec,Inflow,Age <35,36.00,59.00,35.00,42.00,37.00,78.00,150.00,159.00,167.00,181.00
Nurse practitioners,Quebec,Inflow,Age 35-54,23.00,21.00,24.00,44.00,15.00,73.00,118.00,92.00,82.00,93.00
Nurse practitioners,Quebec,Inflow,Age 55+,0.00,1.00,0.00,0.00,1.00,3.00,3.00,2.00,0.00,1.00
Nurse practitioners,Quebec,Inflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Quebec,Outflow,Total,6.00,8.00,8.00,17.00,13.00,11.00,16.00,21.00,19.00,
Nurse practitioners,Quebec,Outflow,Age <35,4.00,3.00,5.00,9.00,7.00,8.00,7.00,8.00,8.00,
Nurse practitioners,Quebec,Outflow,Age 35-54,2.00,3.00,2.00,7.00,6.00,3.00,4.00,10.00,10.00,
Nurse practitioners,Quebec,Outflow,Age 55+,0.00,2.00,1.00,1.00,0.00,0.00,5.00,3.00,1.00,
Nurse practitioners,Quebec,Outflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Nurse practitioners,Quebec,Renewal,Total,246.00,299.00,372.00,423.00,492.00,532.00,675.00,930.00,1162.00,1392.00
Nurse practitioners,Quebec,Renewal,Age <35,100.00,111.00,128.00,133.00,130.00,123.00,156.00,252.00,340.00,422.00
Nurse practitioners,Quebec,Renewal,Age 35-54,136.00,177.00,233.00,278.00,348.00,388.00,490.00,648.00,786.00,928.00
Nurse practitioners,Quebec,Renewal,Age 55+,10.00,11.00,11.00,12.00,14.00,21.00,29.00,30.00,36.00,42.00
Nurse practitioners,Quebec,Renewal,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Quebec,Employment status,Employed in profession,303.00,378.00,431.00,503.00,542.00,679.00,939.00,1172.00,1402.00,1655.00
Nurse practitioners,Quebec,Employment status,Employed in other than profession and seeking employment in profession,,,,,,,,,,
Nurse practitioners,Quebec,Employment status,Employed in other than profession and not seeking employment in profession,,,,,,,,,,
Nurse practitioners,Quebec,Employment status,Not employed and seeking employment in profession,,,,,,,,,,
Nurse practitioners,Quebec,Employment status,Not employed and not seeking employment in profession,,,,,,,,,,
Nurse practitioners,Quebec,Employment status,Not stated,2.00,2.00,0.00,6.00,3.00,7.00,7.00,11.00,9.00,12.00
Nurse practitioners,Quebec,Location of graduation,Canadian educated,303.00,378.00,429.00,505.00,540.00,678.00,931.00,1164.00,1388.00,1643.00
Nurse practitioners,Quebec,Location of graduation,Internationally educated,2.00,2.00,2.00,4.00,5.00,8.00,15.00,19.00,23.00,24.00
Nurse practitioners,Quebec,Location of graduation,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Quebec,Years since graduation,<5 years,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00
Nurse practitioners,Quebec,Years since graduation,5-10 years,113.00,121.00,121.00,123.00,114.00,150.00,242.00,332.00,411.00,497.00
