Type of professional,Jurisdiction,Category,Group,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
Nurse practitioners,Nova Scotia,Years since graduation,<5 years,1,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Nova Scotia,Years since graduation,5–10 years,18,14,26,28,37,34,38,42,57,80,
Nurse practitioners,Nova Scotia,Years since graduation,11–20 years,42,44,41,53,64,80,89,112,144,150,
Nurse practitioners,Nova Scotia,Years since graduation,21–30 years,52,46,50,52,49,53,58,61,55,64,
Nurse practitioners,Nova Scotia,Years since graduation,31+ years,36,42,46,49,54,53,55,59,74,73,
Nurse practitioners,Nova Scotia,Years since graduation,Not stated,0,0,0,0,0,0,0,0,0,1,
Nurse practitioners,New Brunswick,Supply,Total,109,117,125,130,139,148,159,171,193,227,
Nurse practitioners,New Brunswick,Age,Age <25,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,New Brunswick,Age,Age 25–34,23,24,22,25,21,20,20,22,29,39,
Nurse practitioners,New Brunswick,Age,Age 35–44,39,45,49,54,65,70,71,74,85,103,
Nurse practitioners,New Brunswick,Age,Age 45–54,30,30,35,34,29,31,35,39,40,46,
Nurse practitioners,New Brunswick,Age,Age 55–64,16,18,19,15,21,21,26,27,29,30,
Nurse practitioners,New Brunswick,Age,Age 65+,1,0,0,2,3,6,7,9,10,9,
Nurse practitioners,New Brunswick,Age,Not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,New Brunswick,Age,Average age,43.4,43.3,44.0,43.3,43.8,44.2,44.9,44.7,44.5,43.7,
Nurse practitioners,New Brunswick,Sex,Female,106,113,120,122,130,139,147,159,180,203,
Nurse practitioners,New Brunswick,Sex,Male,3,4,5,8,9,9,12,12,12,18,
Nurse practitioners,New Brunswick,Sex,Not stated,0,0,0,0,0,0,0,0,1,6,
Nurse practitioners,New Brunswick,Inflow,Total,11,15,15,16,18,13,16,21,29,48,
Nurse practitioners,New Brunswick,Inflow,Age <35,6,9,7,12,6,6,4,11,12,18,
Nurse practitioners,New Brunswick,Inflow,Age 35–54,5,6,7,4,10,4,9,9,16,29,
Nurse practitioners,New Brunswick,Inflow,Age 55+,0,0,1,0,2,3,3,1,1,1,
Nurse practitioners,New Brunswick,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,New Brunswick,Outflow,Total,7,7,11,9,4,5,9,7,14,—,
Nurse practitioners,New Brunswick,Outflow,Age <35,3,4,1,3,0,1,1,2,2,—,
Nurse practitioners,New Brunswick,Outflow,Age 35–54,3,3,5,6,1,3,6,3,7,—,
Nurse practitioners,New Brunswick,Outflow,Age 55+,1,0,5,0,3,1,2,2,5,—,
Nurse practitioners,New Brunswick,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,—,
Nurse practitioners,New Brunswick,Renewal,Total,98,102,110,114,121,135,143,150,164,179,
Nurse practitioners,New Brunswick,Renewal,Age <35,17,15,15,13,15,14,16,11,17,21,
Nurse practitioners,New Brunswick,Renewal,Age 35–54,64,69,77,84,84,97,97,104,109,120,
Nurse practitioners,New Brunswick,Renewal,Age 55+,17,18,18,17,22,24,30,35,38,38,
Nurse practitioners,New Brunswick,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,New Brunswick,Employment status,Employed in profession,106,113,121,126,135,144,152,161,191,219,
Nurse practitioners,New Brunswick,Employment status,Employed in other than profession and seeking employment in profession,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,New Brunswick,Employment status,Employed in other than profession and not seeking employment in profession,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,New Brunswick,Employment status,Not employed and seeking employment in profession,0,1,0,1,1,1,1,2,0,0,
Nurse practitioners,New Brunswick,Employment status,Not employed and not seeking employment in profession,2,2,3,3,1,2,1,3,0,0,
Nurse practitioners,New Brunswick,Employment status,Not stated,1,1,1,0,2,1,5,5,2,8,
Nurse practitioners,New Brunswick,Location of graduation,Canadian educated,105,113,121,126,133,141,150,161,182,218,
Nurse practitioners,New Brunswick,Location of graduation,Internationally educated,4,4,4,4,6,7,9,10,10,9,
Nurse practitioners,New Brunswick,Location of graduation,Not stated,0,0,0,0,0,0,0,0,1,0,
Nurse practitioners,New Brunswick,Years since graduation,<5 years,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,New Brunswick,Years since graduation,5–10 years,19,25,21,27,20,22,20,23,29,36,
Nurse practitioners,New Brunswick,Years since graduation,11–20 years,43,44,50,53,68,71,73,83,93,113,
Nurse practitioners,New Brunswick,Years since graduation,21–30 years,30,31,31,30,27,26,33,28,33,42,
Nurse practitioners,New Brunswick,Years since graduation,31+ years,17,17,23,20,24,29,33,37,38,36,
Nurse practitioners,New Brunswick,Years since graduation,Not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Quebec,Supply,Total,305,380,431,509,545,686,946,"1,183","1,411","1,667",
Nurse practitioners,Quebec,Age,Age <25,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Quebec,Age,Age 25–34,136,170,163,175,167,201,306,411,507,603,
Nurse practitioners,Quebec,Age,Age 35–44,125,157,208,261,296,374,495,590,682,793,
Nurse practitioners,Quebec,Age,Age 45–54,34,41,49,61,67,87,113,150,186,228,
Nurse practitioners,Quebec,Age,Age 55–64,10,12,11,11,15,23,30,29,34,40,
Nurse practitioners,Quebec,Age,Age 65+,0,0,0,1,0,1,2,3,2,3,
Nurse practitioners,Quebec,Age,Not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Quebec,Age,Average age,37.1,37.0,37.3,37.8,38.3,38.5,38.2,38.0,38.0,38.1,
Nurse practitioners,Quebec,Sex,Female,281,352,396,462,495,620,850,"1,063","1,265","1,477",
Nurse practitioners,Quebec,Sex,Male,24,28,35,47,50,66,96,120,146,190,
Nurse practitioners,Quebec,Sex,Not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Quebec,Inflow,Total,59,81,59,86,53,154,271,253,249,275,
Nurse practitioners,Quebec,Inflow,Age <35,36,59,35,42,37,78,150,159,167,181,
Nurse practitioners,Quebec,Inflow,Age 35–54,23,21,24,44,15,73,118,92,82,93,
Nurse practitioners,Quebec,Inflow,Age 55+,0,1,0,0,1,3,3,2,0,1,
Nurse practitioners,Quebec,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Quebec,Outflow,Total,6,8,8,17,13,11,16,21,19,—,
Nurse practitioners,Quebec,Outflow,Age <35,4,3,5,9,7,8,7,8,8,—,
Nurse practitioners,Quebec,Outflow,Age 35–54,2,3,2,7,6,3,4,10,10,—,
Nurse practitioners,Quebec,Outflow,Age 55+,0,2,1,1,0,0,5,3,1,—,
Nurse practitioners,Quebec,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,—,
Nurse practitioners,Quebec,Renewal,Total,246,299,372,423,492,532,675,930,"1,162","1,392",
Nurse practitioners,Quebec,Renewal,Age <35,100,111,128,133,130,123,156,252,340,422,
Nurse practitioners,Quebec,Renewal,Age 35–54,136,177,233,278,348,388,490,648,786,928,
Nurse practitioners,Quebec,Renewal,Age 55+,10,11,11,12,14,21,29,30,36,42,
Nurse practitioners,Quebec,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Quebec,Employment status,Employed in profession,303,378,431,503,542,679,939,"1,172","1,402","1,655",
Nurse practitioners,Quebec,Employment status,Employed in other than profession and seeking employment in profession,—,—,—,—,—,—,—,—,—,—,
Nurse practitioners,Quebec,Employment status,Employed in other than profession and not seeking employment in profession,—,—,—,—,—,—,—,—,—,—,
Nurse practitioners,Quebec,Employment status,Not employed and seeking employment in profession,—,—,—,—,—,—,—,—,—,—,
Nurse practitioners,Quebec,Employment status,Not employed and not seeking employment in profession,—,—,—,—,—,—,—,—,—,—,
Nurse practitioners,Quebec,Employment status,Not stated,2,2,0,6,3,7,7,11,9,12,
Nurse practitioners,Quebec,Location of graduation,Canadian educated,303,378,429,505,540,678,931,"1,164","1,388","1,643",
Nurse practitioners,Quebec,Location of graduation,Internationally educated,2,2,2,4,5,8,15,19,23,24,
Nurse practitioners,Quebec,Location of graduation,Not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Quebec,Years since graduation,<5 years,0,0,0,0,0,0,1,1,1,1,
Nurse practitioners,Quebec,Years since graduation,5–10 years,113,121,121,123,114,150,242,332,411,497,
Nurse practitioners,Quebec,Years since graduation,11–20 years,145,200,244,301,327,411,557,682,780,880,
Nurse practitioners,Quebec,Years since graduation,21–30 years,37,45,50,65,82,98,117,136,186,251,
Nurse practitioners,Quebec,Years since graduation,31+ years,10,14,16,20,22,27,29,32,33,38,
Nurse practitioners,Quebec,Years since graduation,Not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Ontario,Supply,Total,"2,520","2,769","3,011","3,206","3,451","3,681","3,861","4,135","4,407","4,710",
Nurse practitioners,Ontario,Age,Age <25,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Ontario,Age,Age 25–34,477,545,614,635,649,684,651,727,758,806,
Nurse practitioners,Ontario,Age,Age 35–44,704,811,918,"1,042","1,200","1,318","1,452","1,586","1,746","1,893",
Nurse practitioners,Ontario,Age,Age 45–54,805,815,818,802,793,838,867,911,950,"1,000",
Nurse practitioners,Ontario,Age,Age 55–64,484,539,578,637,683,693,716,721,753,790,
Nurse practitioners,Ontario,Age,Age 65+,50,59,83,90,126,148,175,190,200,221,
Nurse practitioners,Ontario,Age,Not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Ontario,Age,Average age,45.4,45.2,45.0,44.9,45.0,44.8,45.1,44.8,44.8,44.8,
Nurse practitioners,Ontario,Sex,Female,"2,369","2,600","2,823","2,999","3,221","3,426","3,584","3,812","4,050","4,301",
Nurse practitioners,Ontario,Sex,Male,151,169,188,207,230,255,277,322,357,408,
Nurse practitioners,Ontario,Sex,Not stated,0,0,0,0,0,0,0,1,0,1,
Nurse practitioners,Ontario,Inflow,Total,264,308,316,279,314,322,276,408,390,441,
Nurse practitioners,Ontario,Inflow,Age <35,136,170,182,155,163,181,143,231,208,226,
Nurse practitioners,Ontario,Inflow,Age 35–54,116,129,124,113,133,128,119,165,169,192,
Nurse practitioners,Ontario,Inflow,Age 55+,12,9,10,11,18,13,14,12,13,23,
Nurse practitioners,Ontario,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Ontario,Outflow,Total,59,74,84,69,92,96,134,118,138,—,
Nurse practitioners,Ontario,Outflow,Age <35,2,10,14,8,12,17,10,14,20,—,
Nurse practitioners,Ontario,Outflow,Age 35–54,28,33,26,30,24,36,58,40,55,—,
Nurse practitioners,Ontario,Outflow,Age 55+,29,31,44,31,56,43,66,64,63,—,
Nurse practitioners,Ontario,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,—,
Nurse practitioners,Ontario,Renewal,Total,"2,256","2,461","2,695","2,927","3,137","3,359","3,585","3,727","4,017","4,269",
Nurse practitioners,Ontario,Renewal,Age <35,341,375,432,480,486,503,508,496,550,580,
Nurse practitioners,Ontario,Renewal,Age 35–54,"1,393","1,497","1,612","1,731","1,860","2,028","2,200","2,332","2,527","2,701",
Nurse practitioners,Ontario,Renewal,Age 55+,522,589,651,716,791,828,877,899,940,988,
Nurse practitioners,Ontario,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Ontario,Employment status,Employed in profession,"2,405","2,646","2,855","3,032","3,273","3,454","3,649","3,896","4,169","4,493",
Nurse practitioners,Ontario,Employment status,Employed in other than profession and seeking employment in profession,3,3,3,10,4,6,4,2,7,4,
Nurse practitioners,Ontario,Employment status,Employed in other than profession and not seeking employment in profession,1,0,3,5,4,5,4,5,3,8,
Nurse practitioners,Ontario,Employment status,Not employed and seeking employment in profession,27,41,50,55,61,58,55,65,60,52,
Nurse practitioners,Ontario,Employment status,Not employed and not seeking employment in profession,12,16,15,25,17,33,36,32,34,32,
Nurse practitioners,Ontario,Employment status,Not stated,72,63,85,79,92,125,113,135,134,121,
Nurse practitioners,Ontario,Location of graduation,Canadian educated,"2,370","2,615","2,843","3,038","3,272","3,486","3,645","3,907","4,158","4,441",
Nurse practitioners,Ontario,Location of graduation,Internationally educated,149,153,167,167,178,194,215,228,249,269,
Nurse practitioners,Ontario,Location of graduation,Not stated,1,1,1,1,1,1,1,0,0,0,
Nurse practitioners,Ontario,Years since graduation,<5 years,216,213,185,14,8,20,259,622,937,"1,200",
Nurse practitioners,Ontario,Years since graduation,5–10 years,422,531,643,843,865,905,712,551,391,233,
Nurse practitioners,Ontario,Years since graduation,11–20 years,672,781,885,"1,005","1,173","1,322","1,437","1,502","1,586","1,741",
Nurse practitioners,Ontario,Years since graduation,21–30 years,672,628,666,670,686,690,661,643,670,708,
Nurse practitioners,Ontario,Years since graduation,31+ years,533,609,632,674,719,744,792,817,823,828,
Nurse practitioners,Ontario,Years since graduation,Not stated,5,7,0,0,0,0,0,0,0,0,
Nurse practitioners,Manitoba,Supply,Total,152,163,178,193,217,233,275,306,316,338,
Nurse practitioners,Manitoba,Age,Age <25,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Manitoba,Age,Age 25–34,26,30,38,41,49,59,67,65,37,54,
Nurse practitioners,Manitoba,Age,Age 35–44,61,62,67,75,80,84,103,123,136,141,
Nurse practitioners,Manitoba,Age,Age 45–54,46,54,55,56,61,59,68,77,92,95,
Nurse practitioners,Manitoba,Age,Age 55–64,17,14,15,16,23,26,33,37,46,45,
Nurse practitioners,Manitoba,Age,Age 65+,2,3,3,5,4,5,4,4,5,3,
Nurse practitioners,Manitoba,Age,Not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Manitoba,Age,Average age,43.4,43.2,44.2,44.3,43.3,42.7,42.7,43.1,43.6,43.4,
Nurse practitioners,Manitoba,Sex,Female,140,150,163,174,195,208,—,245,251,255,
Nurse practitioners,Manitoba,Sex,Male,12,13,15,19,22,24,—,35,38,38,
Nurse practitioners,Manitoba,Sex,Not stated,0,0,0,0,0,1,—,26,27,45,
Nurse practitioners,Manitoba,Inflow,Total,29,21,16,18,30,26,24,43,28,39,
Nurse practitioners,Manitoba,Inflow,Age <35,10,11,8,11,15,19,11,18,10,20,
Nurse practitioners,Manitoba,Inflow,Age 35–54,19,10,7,6,14,7,12,24,17,18,
Nurse practitioners,Manitoba,Inflow,Age 55+,0,0,1,1,1,0,1,1,1,1,
Nurse practitioners,Manitoba,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Manitoba,Outflow,Total,10,1,3,6,10,4,12,18,17,—,
Nurse practitioners,Manitoba,Outflow,Age <35,1,0,0,1,4,1,4,3,3,—,
Nurse practitioners,Manitoba,Outflow,Age 35–54,6,1,1,4,3,2,6,10,10,—,
Nurse practitioners,Manitoba,Outflow,Age 55+,3,0,2,1,3,1,2,5,4,—,
Nurse practitioners,Manitoba,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,—,
Nurse practitioners,Manitoba,Renewal,Total,123,142,162,175,187,207,251,263,288,299,
Nurse practitioners,Manitoba,Renewal,Age <35,16,19,30,30,34,40,56,47,27,34,
Nurse practitioners,Manitoba,Renewal,Age 35–54,88,106,115,125,127,136,159,176,211,218,
Nurse practitioners,Manitoba,Renewal,Age 55+,19,17,17,20,26,31,36,40,50,47,
